Particle Diameter (µm),L1,L2,L3,L4,L5,L6,L7,L8,RIC1,RIC2,RIC3,RIC4,RIC5,RIC6,RIC7
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.02293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.04639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.05832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.07039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.0826,290,222,196,313,185,432,654,223,91,285,257,316,260,446,225
1.09494,619,466,409,693,384,887,1329,456,194,573,546,631,538,965,464
1.10742,625,473,370,686,372,872,1361,481,193,573,538,629,523,940,481
1.12005,599,426,381,652,377,874,1293,461,188,543,515,594,513,886,483
1.13282,612,433,381,639,385,837,1303,439,201,542,515,580,533,852,442
1.14574,577,423,363,644,359,808,1256,445,194,559,491,585,500,787,479
1.1588,572,408,340,621,386,792,1259,411,181,527,500,550,492,777,466
1.17201,572,398,344,620,334,781,1167,408,189,475,481,549,480,769,413
1.18538,545,409,333,587,364,747,1159,395,180,477,451,519,452,750,412
1.19889,532,393,323,587,358,752,1166,370,170,508,459,499,504,714,396
1.21256,536,389,327,609,359,748,1148,359,178,489,442,532,469,684,404
1.22639,526,360,290,600,333,696,1084,365,168,457,450,498,458,676,383
1.24037,529,387,313,570,316,696,1111,333,156,477,446,495,458,694,412
1.25451,545,356,319,573,312,658,1103,329,147,426,427,463,454,676,398
1.26882,497,359,285,567,291,665,1051,346,163,443,450,475,439,679,387
1.28328,527,314,287,541,307,672,1027,319,174,423,410,445,421,642,371
1.29791,487,333,291,530,330,648,1023,325,154,411,397,428,456,619,344
1.31271,515,325,261,536,272,612,986,295,134,405,399,435,437,616,359
1.32768,483,321,257,555,285,575,988,296,140,395,390,398,399,608,357
1.34282,503,302,260,487,304,595,929,272,149,386,394,409,427,587,344
1.35813,494,312,246,496,306,564,932,278,141,372,338,415,438,566,308
1.37361,471,304,238,528,286,578,946,248,135,357,360,383,420,583,314
1.38928,475,280,248,495,292,557,937,267,124,358,368,396,415,568,340
1.40512,447,275,234,509,270,529,905,237,130,328,346,362,432,530,308
1.42114,475,283,216,512,263,515,907,226,127,321,346,366,401,542,312
1.43734,439,278,221,471,249,486,861,233,120,306,328,366,383,500,299
1.45373,443,262,212,480,259,477,891,228,114,300,318,327,380,521,289
1.4703,477,253,185,465,258,470,857,244,136,293,326,320,368,504,277
1.48707,425,259,205,438,266,483,843,225,116,314,314,342,375,458,290
1.50402,427,259,193,448,254,471,857,214,109,280,316,308,376,479,277
1.52117,431,250,191,448,248,450,815,185,119,285,286,322,366,483,284
1.53852,428,223,192,436,244,416,796,197,118,265,310,311,386,458,256
1.55606,437,227,174,419,252,396,778,201,104,262,297,299,361,462,240
1.5738,397,224,171,415,235,411,772,187,109,259,269,295,349,452,249
1.59174,411,210,168,393,235,407,736,183,106,252,262,305,355,427,267
1.60989,434,218,182,424,218,389,747,174,98,238,257,265,340,445,234
1.62825,391,209,167,402,234,382,749,176,109,225,271,275,363,434,242
1.64681,393,208,166,389,229,384,742,172,93,218,240,270,371,427,231
1.66559,403,204,156,373,221,387,719,171,95,215,249,276,326,418,222
1.68458,387,195,143,390,217,343,729,172,103,210,259,267,322,424,238
1.70379,377,191,157,375,202,334,685,155,94,192,238,251,384,405,225
1.72321,409,189,142,359,202,356,684,145,105,210,237,241,343,397,244
1.74286,405,172,149,378,201,317,656,148,96,202,236,247,332,355,230
1.76273,385,182,136,364,182,321,669,138,83,182,224,236,326,346,220
1.78283,409,178,127,347,216,335,623,118,94,183,232,224,341,346,218
1.80316,385,164,122,336,186,281,648,142,90,167,219,226,322,368,209
1.82372,356,168,131,328,198,275,648,125,84,164,227,221,324,370,191
1.84451,344,170,122,323,184,280,638,120,92,154,191,224,320,347,205
1.86554,324,146,135,311,176,262,629,116,83,161,208,187,282,344,205
1.88681,354,150,116,322,180,268,617,121,74,161,197,217,297,342,197
1.90833,325,139,114,304,167,273,588,135,87,151,214,201,281,341,203
1.93009,323,135,111,299,161,276,572,110,79,132,192,197,288,329,170
1.95209,337,141,103,284,157,236,580,120,74,135,180,192,299,289,180
1.97435,343,142,101,313,153,237,551,111,71,122,179,196,277,303,195
1.99686,309,146,110,283,145,235,547,88,75,126,182,169,280,283,180
