,top depth,bottom depth,mid depth
RIC1,155.065,155.095,155.07999999999998
RIC2,155.0957857,155.1257857,155.1107857
RIC3,155.1265714,155.1565714,155.14157139999998
RIC4,155.1573571,155.1973571,155.1773571
RIC5,155.1981429,155.2411429,155.2196429
RIC6,155.2419286,155.2774286,155.2596786
RIC7,155.2782143,155.3072143,155.2927143
L1,155.065,155.095,155.07999999999998
L2,155.0957857,155.1257857,155.1107857
L3,155.1265714,155.1565714,155.14157139999998
L4,155.1573571,155.1973571,155.1773571
L5,155.1981429,155.2411429,155.2196429
L6,155.2419286,155.2774286,155.2596786
L7,155.2782143,155.3072143,155.2927143
L8,155.308,155.338,155.32299999999998
