ID,topdepth_dipadj,middepth_dipadj,botdepth_dipadj
LIC1,155.11318792789785,155.12818792789784,155.14318792789786
LIC2,155.14397362789785,155.15897362789786,155.17397362789785
LIC3,155.17475932789785,155.18975932789783,155.20475932789785
LIC4,155.20554502789787,155.22554502789785,155.24554502789786
LIC5,155.24633082789785,155.26783082789785,155.28933082789786
LIC6,155.29011652789785,155.30786652789786,155.32561652789786
LIC7,155.32640222789786,155.34090222789786,155.35540222789786
LIC8,155.35618792789785,155.37118792789784,155.38618792789785
RIC1,155.03481207210214,155.04981207210216,155.06481207210214
RIC2,155.06589537210215,155.08089537210213,155.09589537210215
RIC3,155.09697877210215,155.11522877210214,155.13347877210214
RIC4,155.13456207210214,155.14956207210213,155.16456207210214
RIC5,155.16564537210215,155.18064537210216,155.19564537210215
RIC6,155.19672877210215,155.21922877210216,155.24172877210214
RIC7,155.24281207210214,155.26381207210216,155.28481207210214
ICPMS1,155.01975334463404,155.03525334463404,155.05075334463405
ICPMS2,155.05175334463405,155.06725334463403,155.08275334463403
ICPMS3,155.08375334463403,155.10250334463404,155.12125334463406
ICPMS4,155.12225334463403,155.13725334463402,155.15225334463403
ICPMS5,155.15325334463404,155.16850334463405,155.18375334463406
ICPMS6,155.18475334463403,155.20325334463405,155.22175334463404
ICPMS7,155.22275334463404,155.24375334463406,155.26475334463404
LISO1,155.12523490987232,155.1302349098723,155.1352349098723
LISO2,155.13633490987232,155.1413349098723,155.1463349098723
LISO3,155.14753490987232,155.15253490987232,155.1575349098723
LISO4,155.15863490987232,155.16363490987231,155.1686349098723
LISO5,155.16973490987232,155.1747349098723,155.1797349098723
LISO6,155.18093490987232,155.18593490987232,155.1909349098723
LISO7,155.19203490987232,155.19703490987231,155.2020349098723
LISO8,155.20313490987232,155.2081349098723,155.2131349098723
LISO9,155.21423490987232,155.2192349098723,155.2242349098723
LISO10,155.22543490987232,155.23043490987232,155.2354349098723
LISO11,155.23653490987232,155.2415349098723,155.2465349098723
LISO12,155.24763490987232,155.2526349098723,155.2576349098723
LISO13,155.25883490987232,155.26383490987232,155.2688349098723
LISO14,155.26993490987232,155.27493490987231,155.2799349098723
LISO15,155.28103490987232,155.2860349098723,155.2910349098723
LISO16,155.29223490987232,155.29723490987232,155.3022349098723
LISO17,155.30333490987232,155.30833490987231,155.3133349098723
LISO18,155.31443490987232,155.3194349098723,155.3244349098723
LISO19,155.32553490987232,155.3305349098723,155.3355349098723
LISO20,155.33673490987232,155.34173490987232,155.3467349098723
LISO21,155.34783490987232,155.3528349098723,155.3578349098723
LISO22,155.35893490987232,155.3639349098723,155.3689349098723
LISO23,155.37013490987232,155.37513490987232,155.3801349098723
