ID,Note,rawdepth_top_m,rawdepth_bottom_m,left_fromcenter_mm,right_fromcenter_mm,top_fromcenter_mm,bot_fromcenter_mm
LIC1,IC and coulter,155.065,155.095,80,110,30,0
LIC2,IC and coulter,155.0957857,155.1257857,80,110,30,0
LIC3,IC and coulter,155.1265714,155.1565714,80,110,30,0
LIC4,IC and coulter,155.1573571,155.1973571,80,110,30,0
LIC5,IC and coulter,155.1981429,155.2411429,80,110,30,0
LIC6,IC and coulter,155.2419286,155.2774286,80,110,30,0
LIC7,IC and coulter,155.2782143,155.3072143,80,110,30,0
LIC8,IC and coulter,155.308,155.338,80,110,30,0
RIC1,IC and coulter,155.083,155.113,-80,-50,30,0
RIC2,IC and coulter,155.1140833,155.1440833,-80,-50,30,0
RIC3,IC and coulter,155.1451667,155.1816667,-80,-50,30,0
RIC4,IC and coulter,155.18275,155.21275,-80,-50,30,0
RIC5,IC and coulter,155.2138333,155.2438333,-80,-50,30,0
RIC6,IC and coulter,155.2449167,155.2899167,-80,-50,30,0
RIC7,IC and coulter,155.291,155.333,-80,-50,30,0
ICPMS1,ICPMS,155.083,155.114,-100,-80,30,0
ICPMS2,ICPMS,155.115,155.146,-100,-80,30,0
ICPMS3,ICPMS,155.147,155.1845,-100,-80,30,0
ICPMS4,ICPMS,155.1855,155.2155,-100,-80,30,0
ICPMS5,ICPMS,155.2165,155.247,-100,-80,30,0
ICPMS6,ICPMS,155.248,155.285,-100,-80,30,0
ICPMS7,ICPMS,155.286,155.328,-100,-80,30,0
LISO1,water iso,155.065,155.075,110,120,30,0
LISO2,water iso,155.0761,155.0861,110,120,30,0
LISO3,water iso,155.0873,155.0973,110,120,30,0
LISO4,water iso,155.0984,155.1084,110,120,30,0
LISO5,water iso,155.1095,155.1195,110,120,30,0
LISO6,water iso,155.1207,155.1307,110,120,30,0
LISO7,water iso,155.1318,155.1418,110,120,30,0
LISO8,water iso,155.1429,155.1529,110,120,30,0
LISO9,water iso,155.154,155.164,110,120,30,0
LISO10,water iso,155.1652,155.1752,110,120,30,0
LISO11,water iso,155.1763,155.1863,110,120,30,0
LISO12,water iso,155.1874,155.1974,110,120,30,0
LISO13,water iso,155.1986,155.2086,110,120,30,0
LISO14,water iso,155.2097,155.2197,110,120,30,0
LISO15,water iso,155.2208,155.2308,110,120,30,0
LISO16,water iso,155.232,155.242,110,120,30,0
LISO17,water iso,155.2431,155.2531,110,120,30,0
LISO18,water iso,155.2542,155.2642,110,120,30,0
LISO19,water iso,155.2653,155.2753,110,120,30,0
LISO20,water iso,155.2765,155.2865,110,120,30,0
LISO21,water iso,155.2876,155.2976,110,120,30,0
LISO22,water iso,155.2987,155.3087,110,120,30,0
LISO23,water iso,155.3099,155.3199,110,120,30,0
LISO24,water iso,155.321,155.338,110,120,30,0
RISO1,water iso,155.083,155.093,-120,-100,30,0
RISO2,water iso,155.0941,155.1041,-120,-100,30,0
RISO3,water iso,155.1051,155.1151,-120,-100,30,0
RISO4,water iso,155.1162,155.1262,-120,-100,30,0
RISO5,water iso,155.1272,155.1372,-120,-100,30,0
RISO6,water iso,155.1383,155.1483,-120,-100,30,0
RISO7,water iso,155.1493,155.1593,-120,-100,30,0
RISO8,water iso,155.1604,155.1704,-120,-100,30,0
RISO9,water iso,155.1714,155.1814,-120,-100,30,0
RISO10,water iso,155.1825,155.1925,-120,-100,30,0
RISO11,water iso,155.1935,155.2035,-120,-100,30,0
RISO12,water iso,155.2046,155.2146,-120,-100,30,0
RISO13,water iso,155.2156,155.2256,-120,-100,30,0
RISO14,water iso,155.2267,155.2367,-120,-100,30,0
RISO15,water iso,155.2377,155.2477,-120,-100,30,0
RISO16,water iso,155.2488,155.2588,-120,-100,30,0
RISO17,water iso,155.2598,155.2698,-120,-100,30,0
RISO18,water iso,155.2709,155.2809,-120,-100,30,0
RISO19,water iso,155.2819,155.2919,-120,-100,30,0
RISO20,water iso,155.293,155.303,-120,-100,30,0
RISO21,water iso,155.304,155.321,-120,-100,30,0
CISO1,water iso,155.065,155.075,-15,15,-100,-115
CISO2,water iso,155.075,155.085,-15,15,-100,-115
CISO3,water iso,155.085,155.095,-15,15,-100,-115
CISO4,water iso,155.095,155.105,-15,15,-100,-115
CISO5,water iso,155.105,155.115,-15,15,-100,-115
CISO6,water iso,155.115,155.125,-15,15,-100,-115
CISO7,water iso,155.125,155.135,-15,15,-100,-115
CISO8,water iso,155.135,155.145,-15,15,-100,-115
CISO9,water iso,155.145,155.155,-15,15,-100,-115
CISO10,water iso,155.155,155.165,-15,15,-100,-115
CISO11,water iso,155.165,155.175,-15,15,-100,-115
CISO12,water iso,155.175,155.185,-15,15,-100,-115
CISO13,water iso,155.185,155.195,-15,15,-100,-115
CISO14,water iso,155.195,155.205,-15,15,-100,-115
CISO15,water iso,155.205,155.215,-15,15,-100,-115
CISO16,water iso,155.215,155.225,-15,15,-100,-115
CISO17,water iso,155.225,155.235,-15,15,-100,-115
CISO18,water iso,155.235,155.245,-15,15,-100,-115
CISO19,water iso,155.245,155.255,-15,15,-100,-115
CISO20,water iso,155.255,155.265,-15,15,-100,-115
CISO21,water iso,155.265,155.275,-15,15,-100,-115
CISO22,water iso,155.275,155.285,-15,15,-100,-115
CISO23,water iso,155.285,155.295,-15,15,-100,-115
CISO24,water iso,155.295,155.305,-15,15,-100,-115
CISO25,water iso,155.305,155.315,-15,15,-100,-115
CISO26,water iso,155.315,155.325,-15,15,-100,-115
CISO27,water iso,155.325,155.335,-15,15,-100,-115
CISO28,water iso,155.335,155.345,-15,15,-100,-115
LOSU,co2,155.065,155.338,40,75,-100,-115
ROSU,co2,155.083,155.328,-50,0,-100,-115
LSIO,d18O and O2/N2,155.065,155.338,5,35,-100,-115
RSIO,d18O and O2/N2,155.083,155.328,-90,-55,-100,-115
LCO21,placeholder CO2,155.07,155.0925,75,40,30,0
LCO22,placeholder CO2,155.0925,155.1125,75,40,30,0
LCO23,placeholder CO2,155.1125,155.14,75,40,30,0
LCO24,placeholder CO2,155.14,155.1625,75,40,30,0
LCO25,placeholder CO2,155.1625,155.1825,75,40,30,0
LCO26,placeholder CO2,155.1825,155.2025,75,40,30,0
LCO27,placeholder CO2,155.2025,155.2225,75,40,30,0
LCO28,placeholder CO2,155.2225,155.2575,75,40,30,0
LCO29,placeholder CO2,155.2575,155.2775,75,40,30,0
